"Env_step","MAP_NAME: smacv2_20_units - eval_m/.win_rate","MAP_NAME: smacv2_20_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_20_units - eval_m/.win_rate__MAX","MAP_NAME: smacv2_10_units - eval_m/.win_rate","MAP_NAME: smacv2_10_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_10_units - eval_m/.win_rate__MAX","MAP_NAME: smacv2_5_units - eval_m/.win_rate","MAP_NAME: smacv2_5_units - eval_m/.win_rate__MIN","MAP_NAME: smacv2_5_units - eval_m/.win_rate__MAX","MAP_NAME: 27m_vs_30m - eval_m/.win_rate","MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MIN","MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MAX","MAP_NAME: 10m_vs_11m - eval_m/.win_rate","MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MIN","MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MAX","MAP_NAME: 6h_vs_8z - eval_m/.win_rate","MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MIN","MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MAX","MAP_NAME: 5m_vs_6m - eval_m/.win_rate","MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MIN","MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MAX","MAP_NAME: 3s5z - eval_m/.win_rate","MAP_NAME: 3s5z - eval_m/.win_rate__MIN","MAP_NAME: 3s5z - eval_m/.win_rate__MAX","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MIN","MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MAX","MAP_NAME: 3s_vs_5z - eval_m/.win_rate","MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MIN","MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MAX","MAP_NAME: 2s3z - eval_m/.win_rate","MAP_NAME: 2s3z - eval_m/.win_rate__MIN","MAP_NAME: 2s3z - eval_m/.win_rate__MAX"
"1179648","3.75","3.125","6.25","7.5","3.125","15.625","8.125","3.125","15.625","10.416666666666666","3.125","21.875","15.625","0","34.375","1.25","0","6.25","0","0","0","0.625","0","3.125","0","0","0","0","0","0","17.5","12.5","28.125"
"1228800","2.5","0","9.375","5.625","3.125","12.5","11.875","6.25","25","14.583333333333334","6.25","31.25","16.875","9.375","21.875","2.5","0","9.375","0.625","0","3.125","1.875","0","6.25","0","0","0","0","0","0","15","6.25","25"
"1277952","4.375","3.125","6.25","7.5","3.125","12.5","10","3.125","15.625","15.625","9.375","25","18.125","3.125","31.25","1.875","0","6.25","0.625","0","3.125","0.625","0","3.125","0","0","0","0","0","0","19.375","9.375","28.125"
"1327104","1.875","0","6.25","7.5","0","15.625","8.125","3.125","12.5","11.458333333333334","6.25","21.875","13.75","6.25","21.875","3.125","0","9.375","0","0","0","1.25","0","6.25","0","0","0","0","0","0","15.625","9.375","18.75"
"1376256","4.375","0","9.375","6.25","3.125","9.375","6.25","3.125","9.375","10.416666666666666","6.25","12.5","14.375","9.375","21.875","3.125","0","6.25","0","0","0","1.875","0","3.125","0","0","0","0","0","0","25","18.75","28.125"
"1425408","3.75","0","6.25","5.625","3.125","9.375","10.625","6.25","15.625","13.541666666666666","0","28.125","17.5","3.125","25","5.625","0","18.75","0","0","0","3.125","0","9.375","0","0","0","0","0","0","24.375","15.625","40.625"
"1474560","0.625","0","3.125","8.75","3.125","15.625","12.5","3.125","18.75","18.75","6.25","25","20","9.375","31.25","5","3.125","9.375","0","0","0","4.375","0","12.5","0","0","0","0","0","0","27.5","21.875","37.5"
"1523712","5.625","0","9.375","11.875","9.375","12.5","16.25","12.5","21.875","26.041666666666668","12.5","43.75","18.125","9.375","31.25","8.125","0","25","0","0","0","4.375","0","6.25","0","0","0","0","0","0","33.75","25","46.875"
"1572864","4.375","0","9.375","6.875","6.25","9.375","13.125","9.375","21.875","12.5","6.25","18.75","20","3.125","28.125","4.375","0","6.25","0","0","0","6.25","0","9.375","0","0","0","0","0","0","38.125","25","46.875"
"1622016","1.25","0","6.25","6.25","0","15.625","11.875","6.25","18.75","21.875","15.625","34.375","17.5","6.25","31.25","5.625","0","25","0.625","0","3.125","5","3.125","9.375","0","0","0","0","0","0","41.875","28.125","53.125"
"1671168","1.875","0","6.25","6.25","3.125","12.5","20.625","9.375","31.25","28.125","25","31.25","18.75","9.375","28.125","7.5","0","25","0.625","0","3.125","3.75","0","9.375","0","0","0","0","0","0","39.375","18.75","56.25"
"1720320","5.625","0","12.5","8.75","3.125","12.5","21.875","12.5","34.375","19.791666666666668","15.625","25","16.875","9.375","28.125","8.125","0","21.875","0","0","0","5","0","6.25","0","0","0","0","0","0","53.125","37.5","71.875"
"1769472","3.75","0","6.25","6.25","0","9.375","19.375","12.5","31.25","25","9.375","40.625","18.125","9.375","25","11.875","0","50","1.25","0","6.25","2.5","0","9.375","0","0","0","0","0","0","45.625","37.5","59.375"
"1818624","1.875","0","3.125","8.75","3.125","12.5","20.625","9.375","34.375","23.958333333333332","12.5","46.875","15.625","3.125","28.125","18.125","0","71.875","0.625","0","3.125","6.25","3.125","12.5","0","0","0","0","0","0","47.5","34.375","53.125"
"1867776","0.625","0","3.125","3.75","0","6.25","18.75","12.5","28.125","34.375","25","50","26.25","18.75","34.375","23.125","3.125","87.5","0.625","0","3.125","8.125","0","18.75","0","0","0","0","0","0","61.25","53.125","68.75"
"1916928","6.25","0","12.5","6.25","0","21.875","28.125","21.875","34.375","45.833333333333336","28.125","59.375","18.125","9.375","25","19.375","0","78.125","0.625","0","3.125","17.5","0","31.25","0","0","0","0","0","0","62.5","50","68.75"
"1966080","3.75","0","6.25","7.5","3.125","15.625","25","15.625","31.25","37.5","21.875","53.125","26.875","15.625","46.875","23.75","0","84.375","0.625","0","3.125","7.5","0","18.75","0","0","0","0","0","0","53.75","50","68.75"
"2015232","3.125","0","12.5","8.125","3.125","18.75","26.25","15.625","34.375","44.791666666666664","28.125","62.5","20.625","12.5","28.125","25.625","0","93.75","1.875","0","6.25","13.125","3.125","28.125","0","0","0","0","0","0","69.375","62.5","81.25"
"2064384","0.625","0","3.125","2.5","0","3.125","21.875","15.625","31.25","54.166666666666664","15.625","84.375","24.375","21.875","31.25","28.75","0","90.625","1.25","0","3.125","15","3.125","31.25","0","0","0","0","0","0","68.125","62.5","71.875"
"2113536","2.5","0","6.25","8.75","3.125","15.625","25","15.625","31.25","44.791666666666664","25","62.5","24.375","12.5","37.5","23.75","3.125","90.625","0","0","0","13.125","3.125","34.375","0","0","0","0","0","0","68.125","62.5","78.125"
"2162688","6.25","0","12.5","11.25","6.25","15.625","31.25","15.625","40.625","58.333333333333336","25","81.25","29.375","15.625","46.875","30","0","87.5","1.875","0","6.25","13.125","0","31.25","0","0","0","0","0","0","66.25","59.375","78.125"
"2211840","2.5","0","6.25","8.125","3.125","18.75","28.125","25","31.25","53.125","28.125","84.375","20.625","9.375","34.375","33.125","6.25","100","1.25","0","6.25","20.625","3.125","46.875","0","0","0","0","0","0","67.5","59.375","75"
