Step,Env_step,MAP_NAME: smacv2_20_units - win_rate,MAP_NAME: smacv2_20_units - win_rate__MIN,MAP_NAME: smacv2_20_units - win_rate__MAX,MAP_NAME: smacv2_10_units - win_rate,MAP_NAME: smacv2_10_units - win_rate__MIN,MAP_NAME: smacv2_10_units - win_rate__MAX,MAP_NAME: smacv2_5_units - win_rate,MAP_NAME: smacv2_5_units - win_rate__MIN,MAP_NAME: smacv2_5_units - win_rate__MAX,MAP_NAME: 27m_vs_30m - win_rate,MAP_NAME: 27m_vs_30m - win_rate__MIN,MAP_NAME: 27m_vs_30m - win_rate__MAX,MAP_NAME: 10m_vs_11m - win_rate,MAP_NAME: 10m_vs_11m - win_rate__MIN,MAP_NAME: 10m_vs_11m - win_rate__MAX,MAP_NAME: 6h_vs_8z - win_rate,MAP_NAME: 6h_vs_8z - win_rate__MIN,MAP_NAME: 6h_vs_8z - win_rate__MAX,MAP_NAME: 5m_vs_6m - win_rate,MAP_NAME: 5m_vs_6m - win_rate__MIN,MAP_NAME: 5m_vs_6m - win_rate__MAX,MAP_NAME: 3s5z - win_rate,MAP_NAME: 3s5z - win_rate__MIN,MAP_NAME: 3s5z - win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - win_rate,MAP_NAME: 3s5z_vs_3s6z - win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - win_rate__MAX,MAP_NAME: 3s_vs_5z - win_rate,MAP_NAME: 3s_vs_5z - win_rate__MIN,MAP_NAME: 3s_vs_5z - win_rate__MAX,MAP_NAME: 2s3z - win_rate,MAP_NAME: 2s3z - win_rate__MIN,MAP_NAME: 2s3z - win_rate__MAX
21,344064,1.14835164509714,0.707547180354595,1.98019798845053,5.75661785900593,4.43925224244595,8.06045308709145,6.93305283784866,6.17577210068703,7.42574259638786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,360448,1.75860647112131,1.21065378189087,2.38095242530107,5.8983751386404,4.62287105619907,7.19999969005585,6.96601003408432,5.78947365283966,7.85219371318817,0,0,0,0,0,0,0.0844819098711014,0,0.212765950709581,0.0319315330125391,0,0.0836120394524187,0,0,0,0,0,0,0,0,0,0,0,0
23,376832,1.93910226225853,0.486618001013994,3.40314134955406,6.12870544195175,2.27272734045982,8.12182724475861,6.90061964094639,4.96277920901775,8.08080807328224,0,0,0,0,0,0,0,0,0,0.0154679035767913,0,0.0773395178839564,0,0,0,0,0,0,0,0,0,0,0,0
24,393216,2.08968569524586,0.452488707378507,2.84974090754986,5.393161252141,4.49172593653202,6.63265287876129,8.40138986706734,7.17703327536583,10.4712039232254,0,0,0,0.0404448946937919,0,0.202224473468959,0.0443458976224065,0,0.221729488112032,0.0485070573631674,0,0.15735641354695,0,0,0,0,0,0,0,0,0,0,0,0
25,409600,2.53139434382319,1.1312217451632,4.76190485060215,7.62873783707619,5.85241727530956,8.95140692591667,7.35595837235451,4.67091277241707,10.632911324501,0,0,0,0.0825593434274197,0,0.412796717137098,0.0430107535794377,0,0.215053767897189,0.0171232875436544,0,0.0856164377182722,0,0,0,0,0,0,0,0,0,0,0,0
26,425984,3.16810481250286,1.86480190604925,3.79746817052364,6.73951543867588,4.97512444853783,9.13705602288246,6.93921111524105,4.21052649617195,8.94308909773827,0,0,0,0.189873408526182,0,0.949367042630911,0,0,0,0.0504532130435109,0,0.172711571212858,0,0,0,0,0,0,0,0,0,0,0,0
27,442368,3.29765595495701,1.3761468231678,4.34782616794109,8.45886886119843,7.32323229312897,9.39947813749313,8.14855724573135,5.9808611869812,9.94764417409897,0,0,0,0.149892931804061,0,0.749464659020305,0.0447427295148373,0,0.223713647574186,0.0659198849461973,0,0.242718448862433,0,0,0,0,0,0,0,0,0,0,0,0
28,458752,3.42614162713289,1.67464111000299,4.67532463371754,8.12043368816376,5.94315230846405,11.7647059261799,8.05109202861786,6.57894760370255,11.1675128340721,0,0,0,0.107181137427688,0,0.535905687138438,0.0451467279344797,0,0.225733639672399,0.0336747046094388,0,0.0873362470883876,0,0,0,0,0,0,0,0,0,0,0,0
29,475136,4.23374317586422,1.99004970490932,6.18556700646877,7.72261090576649,4.77453581988812,10.5398461222649,7.62259893119335,5.95533512532711,9.09090936183929,0,0,0,0.10810811072588,0,0.540540553629398,0,0,0,0.0482807657681406,0,0.162601622287184,0,0,0,0,0,0,0,0,0,0,0,0
30,491520,4.70250062644482,3.36538478732109,6.57534226775169,6.42467729747295,5.48302866518497,7.69230797886848,8.82948234677315,5.33333346247673,10.7055962085724,0,0,0,0.288248341530561,0,1.44124170765281,0.0434782588854432,0,0.217391294427216,0.103814046597108,0,0.165152770932764,0,0,0,0,0,0,0,0,0,0.0709219835698605,0,0.354609917849302
31,507904,3.85288991034031,2.58397925645113,5.18292672932148,6.72726050019264,4.83870953321457,7.69230797886848,7.75219321250916,6.97674453258514,8.2949310541153,0,0,0,0.155038759112358,0,0.77519379556179,0,0,0,0.0845939118880779,0,0.176366837695241,0,0,0,0,0,0,0,0,0,0,0,0
32,524288,4.64846760034561,3.37349399924278,6.90607726573944,6.82303056120873,5.14905154705048,8.05194824934006,8.38579311966896,7.67195746302605,9.6000000834465,0,0,0,0.642939135432243,0,3.21469567716122,0.0473933666944504,0,0.236966833472252,0.0339226261712611,0,0.0889679708052427,0,0,0,0,0,0,0,0,0,0.0735294120386243,0,0.367647060193121
33,540672,3.86290494352579,3.01624126732349,6.62824213504791,7.52396747469902,5.26315793395042,9.46291536092758,7.8145918995142,5.76923079788685,9.72222238779068,0,0,0,0.362811796367168,0,1.81405898183584,0,0,0,0.119059663265944,0,0.252312864176929,0,0,0,0,0,0,0,0,0,0.154440151527524,0,0.77220075763762
34,557056,3.7120384350419,2.02702693641186,6.23229444026947,8.29348646104336,4.28211577236652,10.7816711068153,9.1695462167263,7.3985680937767,12.8787875175476,0,0,0,0.49717515707016,0,2.4858757853508,0.0942286336794496,0,0.235849060118198,0.0695283652748913,0,0.179856119211763,0,0,0,0,0,0,0,0,0,0.309562971815467,0,1.171875
35,573440,3.03624097257853,1.13636367022991,4.6454768627882,7.3725313693285,5.65110556781292,9.18635204434395,7.55392089486122,6.39810413122177,8.37438404560089,0,0,0,0.462427735328674,0,2.31213867664337,0.0468384055420756,0,0.234192027710378,0.0347530317958444,0,0.0887311471160501,0,0,0,0,0,0,0,0,0,0.152091253548861,0,0.760456267744303
36,589824,3.94311793148518,1.79372206330299,8.28729271888733,7.92402900755405,5.9405941516161,10.4986876249313,9.81919154524803,8.27067643404007,10.6796115636826,0,0,0,0.520094558596611,0,2.60047279298305,0,0,0,0.126933107385412,0,0.546946236863732,0,0,0,0,0,0,0,0,0,0.151515156030655,0,0.757575780153275
