Env_step,MAP_NAME: smacv2_20_units - eval_m/.win_rate,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_10_units - eval_m/.win_rate,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_5_units - eval_m/.win_rate,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MAX,MAP_NAME: 27m_vs_30m - eval_m/.win_rate,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MIN,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MAX,MAP_NAME: 10m_vs_11m - eval_m/.win_rate,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MIN,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MAX,MAP_NAME: 6h_vs_8z - eval_m/.win_rate,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MIN,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MAX,MAP_NAME: 5m_vs_6m - eval_m/.win_rate,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MIN,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MAX,MAP_NAME: 3s5z - eval_m/.win_rate,MAP_NAME: 3s5z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z - eval_m/.win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MAX,MAP_NAME: 3s_vs_5z - eval_m/.win_rate,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MIN,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MAX,MAP_NAME: 2s3z - eval_m/.win_rate,MAP_NAME: 2s3z - eval_m/.win_rate__MIN,MAP_NAME: 2s3z - eval_m/.win_rate__MAX
49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98304,0.625,0,3.125,0,0,0,2.5,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147456,3.125,0,6.25,4.375,0,9.375,4.375,0,9.375,0,0,0,1.25,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196608,3.75,0,12.5,6.25,3.125,12.5,5.625,3.125,9.375,0.625,0,3.125,6.25,0,9.375,0,0,0,0,0,0,0.625,0,3.125,0,0,0,0,0,0,2.5,0,9.375
245760,3.125,0,9.375,8.125,6.25,9.375,11.875,9.375,15.625,3.75,0,6.25,6.25,0,9.375,0.625,0,3.125,0.625,0,3.125,0.625,0,3.125,0,0,0,0,0,0,5,0,9.375
294912,5,0,15.625,4.375,3.125,9.375,11.25,9.375,15.625,10.625,0,21.875,8.125,0,18.75,1.25,0,6.25,0.625,0,3.125,1.875,0,3.125,0,0,0,0,0,0,14.375,3.125,21.875
344064,2.5,0,9.375,3.75,0,12.5,10,3.125,18.75,10,0,21.875,8.75,3.125,15.625,4.375,0,12.5,3.125,0,6.25,1.875,0,3.125,0,0,0,0,0,0,20.625,3.125,34.375
393216,1.875,0,6.25,5.625,3.125,15.625,14.375,9.375,18.75,11.25,0,37.5,10,0,21.875,5,0,15.625,0,0,0,1.875,0,3.125,0,0,0,0,0,0,31.25,12.5,43.75
442368,1.875,0,9.375,4.375,0,9.375,8.125,3.125,12.5,9.375,0,15.625,13.125,6.25,31.25,6.25,0,12.5,0,0,0,6.25,3.125,9.375,0,0,0,0,0,0,39.375,34.375,43.75
491520,1.875,0,6.25,10,3.125,18.75,11.25,3.125,18.75,15,6.25,28.125,15.625,3.125,25,7.5,3.125,12.5,1.25,0,6.25,7.5,3.125,15.625,0,0,0,0,0,0,39.375,28.125,53.125
540672,1.875,0,6.25,8.125,3.125,12.5,15.625,9.375,21.875,25,9.375,46.875,17.5,9.375,37.5,20,3.125,46.875,0.625,0,3.125,5.625,0,9.375,0,0,0,0,0,0,48.75,37.5,56.25
589824,4.375,0,9.375,6.875,0,25,21.25,9.375,25,32.5,9.375,56.25,20.625,6.25,43.75,28.75,9.375,62.5,0,0,0,21.25,9.375,43.75,0,0,0,0,0,0,55.625,43.75,75
638976,1.875,0,3.125,6.875,0,9.375,16.25,9.375,28.125,31.875,3.125,62.5,15,3.125,28.125,24.375,0,59.375,0.625,0,3.125,16.25,6.25,43.75,0,0,0,0,0,0,56.25,40.625,78.125
688128,2.5,0,6.25,8.75,3.125,12.5,25,12.5,40.625,40,9.375,71.875,25,9.375,43.75,31.875,6.25,59.375,1.875,0,6.25,26.25,9.375,50,0,0,0,0,0,0,60,46.875,68.75
737280,1.875,0,3.125,7.5,3.125,15.625,22.5,15.625,31.25,45,12.5,84.375,17.5,6.25,34.375,39.375,15.625,75,1.875,0,3.125,27.5,15.625,37.5,0.625,0,3.125,0,0,0,65.625,46.875,75
786432,1.25,0,6.25,5,0,9.375,21.875,3.125,31.25,40,12.5,65.625,20,3.125,40.625,38.125,12.5,78.125,0.625,0,3.125,36.25,15.625,68.75,0,0,0,0,0,0,66.875,59.375,75
835584,1.875,0,6.25,10,6.25,15.625,26.25,15.625,34.375,34.375,0,65.625,28.75,12.5,50,47.5,18.75,84.375,1.25,0,3.125,37.5,25,62.5,0,0,0,0,0,0,68.75,53.125,87.5
884736,1.875,0,6.25,11.25,9.375,15.625,26.875,18.75,43.75,41.25,6.25,87.5,20.625,12.5,34.375,42.5,15.625,81.25,1.25,0,3.125,43.125,21.875,81.25,1.25,0,3.125,0.625,0,3.125,69.375,65.625,75
933888,3.75,0,9.375,10,0,21.875,31.875,18.75,53.125,48.75,9.375,84.375,21.875,3.125,40.625,37.5,3.125,90.625,1.25,0,3.125,53.75,25,71.875,0,0,0,0,0,0,75,65.625,87.5
983040,3.125,0,6.25,8.75,3.125,15.625,26.875,6.25,46.875,43.75,15.625,81.25,35,15.625,56.25,50,9.375,93.75,1.875,0,6.25,52.5,40.625,84.375,0,0,0,0.625,0,3.125,72.5,59.375,81.25
1032192,3.125,0,6.25,12.5,6.25,21.875,31.875,21.875,46.875,51.875,15.625,87.5,32.5,6.25,62.5,46.25,9.375,87.5,0.625,0,3.125,38.125,21.875,53.125,0,0,0,3.125,0,9.375,76.25,68.75,90.625
1081344,5,3.125,9.375,10.625,6.25,21.875,34.375,28.125,43.75,49.375,21.875,81.25,31.25,6.25,59.375,49.375,18.75,90.625,1.25,0,6.25,40.625,25,50,0,0,0,5.625,0,21.875,78.125,68.75,93.75
1130496,0.625,0,3.125,10,0,25,33.75,25,50,56.875,25,96.875,29.375,6.25,65.625,47.5,9.375,96.875,1.25,0,3.125,37.5,25,43.75,0,0,0,6.25,0,28.125,77.5,59.375,93.75
1179648,2.5,0,6.25,10.625,6.25,15.625,35,25,43.75,55.625,21.875,87.5,31.25,3.125,81.25,42.5,12.5,90.625,1.875,0,6.25,42.5,37.5,50,0,0,0,5.625,0,15.625,83.125,75,93.75
1228800,1.875,0,3.125,16.875,9.375,34.375,34.375,21.875,40.625,63.125,28.125,93.75,39.375,21.875,87.5,52.5,18.75,96.875,1.875,0,3.125,48.75,21.875,78.125,0,0,0,13.75,0,56.25,76.25,71.875,87.5
