Step,Env_step,MAP_NAME: smacv2_20_units - returns,MAP_NAME: smacv2_20_units - returns__MIN,MAP_NAME: smacv2_20_units - returns__MAX,MAP_NAME: smacv2_10_units - returns,MAP_NAME: smacv2_10_units - returns__MIN,MAP_NAME: smacv2_10_units - returns__MAX,MAP_NAME: smacv2_5_units - returns,MAP_NAME: smacv2_5_units - returns__MIN,MAP_NAME: smacv2_5_units - returns__MAX,MAP_NAME: 27m_vs_30m - returns,MAP_NAME: 27m_vs_30m - returns__MIN,MAP_NAME: 27m_vs_30m - returns__MAX,MAP_NAME: 10m_vs_11m - returns,MAP_NAME: 10m_vs_11m - returns__MIN,MAP_NAME: 10m_vs_11m - returns__MAX,MAP_NAME: 6h_vs_8z - returns,MAP_NAME: 6h_vs_8z - returns__MIN,MAP_NAME: 6h_vs_8z - returns__MAX,MAP_NAME: 5m_vs_6m - returns,MAP_NAME: 5m_vs_6m - returns__MIN,MAP_NAME: 5m_vs_6m - returns__MAX,MAP_NAME: 3s5z - returns,MAP_NAME: 3s5z - returns__MIN,MAP_NAME: 3s5z - returns__MAX,MAP_NAME: 3s5z_vs_3s6z - returns,MAP_NAME: 3s5z_vs_3s6z - returns__MIN,MAP_NAME: 3s5z_vs_3s6z - returns__MAX,MAP_NAME: 3s_vs_5z - returns,MAP_NAME: 3s_vs_5z - returns__MIN,MAP_NAME: 3s_vs_5z - returns__MAX,MAP_NAME: 2s3z - returns,MAP_NAME: 2s3z - returns__MIN,MAP_NAME: 2s3z - returns__MAX
0,0,0.300295680761337,0.292162418365479,0.31522935628891,0.268806767463684,0.260099500417709,0.278068006038666,0.24652664065361,0.22648598253727,0.260239779949188,0.193392530083656,0.192092016339302,0.194582656025887,0.163182610273361,0.16064441204071,0.16447788476944,0.329346704483032,0.326139181852341,0.33317705988884,0.138215488195419,0.136192724108696,0.142176866531372,0.200476843118668,0.196178928017616,0.206290885806084,0.175892180204391,0.173091322183609,0.178488209843636,0.210012444853783,0.205614238977432,0.216299489140511,0.202620232105255,0.194251671433449,0.210808947682381
1,16384,0.30712559223175,0.297621250152588,0.320326089859009,0.285242772102356,0.28294238448143,0.290015667676926,0.26149246096611,0.255055546760559,0.268861055374145,0.193439308553934,0.176534533500671,0.211695164442062,0.162953865528107,0.154908120632172,0.180806815624237,0.338306438922882,0.315148621797562,0.359052807092667,0.139130267500877,0.129157274961472,0.145291492342949,0.19621998667717,0.18466979265213,0.214754343032837,0.164725378155708,0.157865166664124,0.184172332286835,0.220779618620872,0.209536239504814,0.232218384742737,0.214484277367592,0.177221283316612,0.233379051089287
2,32768,0.31110412478447,0.290776461362839,0.328297644853592,0.286178869009018,0.278974324464798,0.303243458271027,0.265517023205757,0.240565732121468,0.283654093742371,0.191149681806564,0.152202546596527,0.234249755740166,0.156849101185799,0.138544470071793,0.196324482560158,0.347552818059921,0.306419730186462,0.384873509407043,0.144235080480576,0.127446502447128,0.161557197570801,0.192476046085358,0.152708768844605,0.233005166053772,0.14642965644598,0.123832829296589,0.211313873529434,0.211637559533119,0.172029986977577,0.236804872751236,0.223299792408943,0.130363538861275,0.26997709274292
3,49152,0.318583959341049,0.294662892818451,0.330102473497391,0.287529647350311,0.277570843696594,0.307273626327515,0.281979554891586,0.260920405387878,0.312822550535202,0.183725245296955,0.122387066483498,0.262144923210144,0.15029035359621,0.121801890432835,0.21965380012989,0.35626408457756,0.296950221061707,0.419155210256577,0.14180930107832,0.112766742706299,0.181514263153076,0.183021432161331,0.141304641962051,0.228570103645325,0.128230912983418,0.0969900339841843,0.228259578347206,0.19448829293251,0.132764905691147,0.238142132759094,0.21722422093153,0.0927987173199654,0.291458040475845
4,65536,0.315257143974304,0.299262940883636,0.334662288427353,0.288140112161636,0.267594337463379,0.322752982378006,0.293844276666641,0.262216567993164,0.340409487485886,0.177952956408262,0.090978778898716,0.296761631965637,0.155034980177879,0.12188021838665,0.247169837355614,0.365758448839188,0.299111813306808,0.435875803232193,0.155124871432781,0.119581468403339,0.20521043241024,0.180591422319412,0.126349568367004,0.226945385336876,0.114653266966343,0.0746066644787788,0.235280349850655,0.187323141098022,0.13423091173172,0.22484378516674,0.214408507198095,0.0585467331111431,0.30196937918663
5,81920,0.310250782966614,0.295883804559708,0.324284791946411,0.297858685255051,0.277906000614166,0.339958161115646,0.313910305500031,0.259563416242599,0.369131416082382,0.173541165888309,0.0820671245455742,0.304926753044128,0.162510442733765,0.12513367831707,0.259805142879486,0.375509262084961,0.273469388484955,0.466305673122406,0.176820948719978,0.134045079350472,0.229413747787476,0.18933003693819,0.121472485363483,0.22921872138977,0.10746865645051,0.0572917424142361,0.234980314970016,0.186265695095062,0.149315804243088,0.229453846812248,0.217502177506685,0.0468377955257893,0.315856337547302
6,98304,0.321504408121109,0.305121600627899,0.355134516954422,0.301353925466537,0.25999704003334,0.335961759090424,0.338211506605148,0.260601043701172,0.384536057710648,0.162224678322673,0.07034632563591,0.288167595863342,0.17575418651104,0.130159869790077,0.280341893434525,0.386363840103149,0.277078300714493,0.477318793535233,0.20492732822895,0.160330593585968,0.257265836000442,0.200147253274918,0.126917794346809,0.255687773227692,0.105099496245384,0.0375208854675293,0.238004460930824,0.192681351304054,0.175366029143333,0.237587496638298,0.219782564789057,0.0418976284563541,0.322568982839584
7,114688,0.324784511327744,0.306311994791031,0.358758628368378,0.31346355676651,0.277012914419174,0.340302377939224,0.366209942102432,0.27914172410965,0.453485816717148,0.15305380243808,0.0583589784801006,0.268170773983002,0.193957301974297,0.139465808868408,0.304012626409531,0.405925858020783,0.302132785320282,0.492909073829651,0.23251043856144,0.191190481185913,0.283498048782349,0.220337516069412,0.146138459444046,0.310898572206497,0.104331525787711,0.0258700083941221,0.238627642393112,0.200820365548134,0.182236224412918,0.248973906040192,0.223955229669809,0.0455768890678883,0.337480813264847
8,131072,0.328861820697784,0.304138511419296,0.36575174331665,0.333595126867294,0.291355282068253,0.364654719829559,0.382801169157028,0.30465891957283,0.455554723739624,0.147066296078265,0.0512125007808208,0.25651827454567,0.215493348240852,0.157276272773743,0.333357751369476,0.425796908140183,0.338241517543793,0.509399950504303,0.257995271682739,0.221548050642014,0.304477125406265,0.237157425284386,0.178754851222038,0.329278171062469,0.106589815020561,0.0250455811619759,0.245486706495285,0.215910756587982,0.187390565872192,0.252370983362198,0.228603854030371,0.0548719577491283,0.34655025601387
9,147456,0.330402684211731,0.296493381261826,0.362084001302719,0.334290528297424,0.287158370018005,0.376000285148621,0.41694923043251,0.330387264490128,0.48043566942215,0.140163201838732,0.0479524955153465,0.239791959524155,0.23827004134655,0.17345455288887,0.358231961727142,0.454336249828339,0.37652313709259,0.534627377986908,0.281854593753815,0.243502169847488,0.325559735298157,0.252658244967461,0.204647302627563,0.353941887617111,0.109542539343238,0.030192768201232,0.246817380189896,0.227312651276588,0.194517448544502,0.268053025007248,0.237376162409782,0.0667844116687775,0.333423405885696
