Env_step,MAP_NAME: smacv2_20_units - _step,MAP_NAME: smacv2_20_units - _step__MIN,MAP_NAME: smacv2_20_units - _step__MAX,MAP_NAME: smacv2_20_units - win_rate,MAP_NAME: smacv2_20_units - win_rate__MIN,MAP_NAME: smacv2_20_units - win_rate__MAX,MAP_NAME: smacv2_10_units - _step,MAP_NAME: smacv2_10_units - _step__MIN,MAP_NAME: smacv2_10_units - _step__MAX,MAP_NAME: smacv2_10_units - win_rate,MAP_NAME: smacv2_10_units - win_rate__MIN,MAP_NAME: smacv2_10_units - win_rate__MAX,MAP_NAME: smacv2_5_units - _step,MAP_NAME: smacv2_5_units - _step__MIN,MAP_NAME: smacv2_5_units - _step__MAX,MAP_NAME: smacv2_5_units - win_rate,MAP_NAME: smacv2_5_units - win_rate__MIN,MAP_NAME: smacv2_5_units - win_rate__MAX,MAP_NAME: 27m_vs_30m - _step,MAP_NAME: 27m_vs_30m - _step__MIN,MAP_NAME: 27m_vs_30m - _step__MAX,MAP_NAME: 27m_vs_30m - win_rate,MAP_NAME: 27m_vs_30m - win_rate__MIN,MAP_NAME: 27m_vs_30m - win_rate__MAX,MAP_NAME: 10m_vs_11m - _step,MAP_NAME: 10m_vs_11m - _step__MIN,MAP_NAME: 10m_vs_11m - _step__MAX,MAP_NAME: 10m_vs_11m - win_rate,MAP_NAME: 10m_vs_11m - win_rate__MIN,MAP_NAME: 10m_vs_11m - win_rate__MAX,MAP_NAME: 6h_vs_8z - _step,MAP_NAME: 6h_vs_8z - _step__MIN,MAP_NAME: 6h_vs_8z - _step__MAX,MAP_NAME: 6h_vs_8z - win_rate,MAP_NAME: 6h_vs_8z - win_rate__MIN,MAP_NAME: 6h_vs_8z - win_rate__MAX,MAP_NAME: 5m_vs_6m - _step,MAP_NAME: 5m_vs_6m - _step__MIN,MAP_NAME: 5m_vs_6m - _step__MAX,MAP_NAME: 5m_vs_6m - win_rate,MAP_NAME: 5m_vs_6m - win_rate__MIN,MAP_NAME: 5m_vs_6m - win_rate__MAX,MAP_NAME: 3s5z - _step,MAP_NAME: 3s5z - _step__MIN,MAP_NAME: 3s5z - _step__MAX,MAP_NAME: 3s5z - win_rate,MAP_NAME: 3s5z - win_rate__MIN,MAP_NAME: 3s5z - win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - _step,MAP_NAME: 3s5z_vs_3s6z - _step__MIN,MAP_NAME: 3s5z_vs_3s6z - _step__MAX,MAP_NAME: 3s5z_vs_3s6z - win_rate,MAP_NAME: 3s5z_vs_3s6z - win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - win_rate__MAX,MAP_NAME: 3s_vs_5z - _step,MAP_NAME: 3s_vs_5z - _step__MIN,MAP_NAME: 3s_vs_5z - _step__MAX,MAP_NAME: 3s_vs_5z - win_rate,MAP_NAME: 3s_vs_5z - win_rate__MIN,MAP_NAME: 3s_vs_5z - win_rate__MAX,MAP_NAME: 2s3z - _step,MAP_NAME: 2s3z - _step__MIN,MAP_NAME: 2s3z - _step__MAX,MAP_NAME: 2s3z - win_rate,MAP_NAME: 2s3z - win_rate__MIN,MAP_NAME: 2s3z - win_rate__MAX
163840,10,10,10,0.0014507869258523,0,0.00246913591399789,10,10,10,0.00234894868917763,0,0.00466200476512313,10,10,10,0.00184914506971836,0,0.00459770113229752,10,10,10,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0
180224,11,11,11,0.00193165284581482,0,0.00490196095779538,11,11,11,0.00285522365011275,0,0.00735294120386243,11,11,11,0.00232883901335299,0,0.00932400953024626,11,11,11,0,0,0,11,11,11,0,0,0,11,11,11,0,0,0,11,11,11,0,0,0,11,11,11,0,0,0,11,11,11,0,0,0,11,11,11,0,0,0,11,11,11,0,0,0
196608,12,12,12,0,0,0,12,12,12,0.0018799162004143,0,0.00464037107303739,12,12,12,0.00462268171831965,0,0.00696055684238672,12,12,12,0,0,0,12,12,12,0,0,0,12,12,12,0,0,0,12,12,12,0,0,0,12,12,12,0,0,0,12,12,12,0,0,0,12,12,12,0,0,0,12,12,12,0,0,0
212992,13,13,13,0.00195602513849735,0,0.00735294120386243,13,13,13,0.00191644146107137,0,0.00473933666944504,13,13,13,0.00419157175347209,0.00226244353689253,0.00721153849735856,13,13,13,0,0,0,13,13,13,0,0,0,13,13,13,0,0,0,13,13,13,0,0,0,13,13,13,0,0,0,13,13,13,0,0,0,13,13,13,0,0,0,13,13,13,0,0,0
229376,14,14,14,0.00146706318482757,0,0.00486618001013994,14,14,14,0.000483091780915856,0,0.00241545890457928,14,14,14,0.00506894597783685,0,0.0116822430863976,14,14,14,0,0,0,14,14,14,0,0,0,14,14,14,0,0,0,14,14,14,0,0,0,14,14,14,0,0,0,14,14,14,0,0,0,14,14,14,0,0,0,14,14,14,0,0,0
245760,15,15,15,0.000991327408701181,0,0.00248138955794275,15,15,15,0.00246491748839617,0,0.00755667500197887,15,15,15,0.00615524775348604,0.00228832941502333,0.0117370896041393,15,15,15,0,0,0,15,15,15,0,0,0,15,15,15,0,0,0,15,15,15,0,0,0,15,15,15,0,0,0,15,15,15,0,0,0,15,15,15,0,0,0,15,15,15,0,0,0
262144,16,16,16,0.000984130427241325,0,0.00248756213113666,16,16,16,0.00245459950529039,0,0.00491400482133031,16,16,16,0.00799223938956857,0,0.0140845067799091,16,16,16,0,0,0,16,16,16,0,0,0,16,16,16,0,0,0,16,16,16,0,0,0,16,16,16,0,0,0,16,16,16,0,0,0,16,16,16,0,0,0,16,16,16,0,0,0
278528,17,17,17,0.000999101949855685,0,0.00254452927038074,17,17,17,0.00336722345091403,0,0.00952380988746882,17,17,17,0.00781466960906982,0.00484261522069573,0.0126262623816729,17,17,17,0,0,0,17,17,17,0,0,0,17,17,17,0,0,0,17,17,17,0,0,0,17,17,17,0,0,0,17,17,17,0,0,0,17,17,17,0,0,0,17,17,17,0,0,0
294912,18,18,18,0.00351761332713067,0,0.012562814168632,18,18,18,0.00349943139590323,0,0.00767263444140554,18,18,18,0.00807620268315077,0.00492610828951001,0.0114155253395438,18,18,18,0,0,0,18,18,18,0,0,0,18,18,18,0,0,0,18,18,18,0,0,0,18,18,18,0,0,0,18,18,18,0,0,0,18,18,18,0,0,0,18,18,18,0,0,0
311296,19,19,19,0.00147010353393853,0,0.00251256278716028,19,19,19,0.00396857406012714,0,0.0149999996647239,19,19,19,0.0133133051916957,0.00990098994225264,0.0178117044270039,19,19,19,0,0,0,19,19,19,0,0,0,19,19,19,0,0,0,19,19,19,0,0,0,19,19,19,0,0,0,19,19,19,0,0,0,19,19,19,0,0,0,19,19,19,0,0,0
