Step,Env_step,MAP_NAME: smacv2_20_units - win_rate,MAP_NAME: smacv2_20_units - win_rate__MIN,MAP_NAME: smacv2_20_units - win_rate__MAX,MAP_NAME: smacv2_10_units - win_rate,MAP_NAME: smacv2_10_units - win_rate__MIN,MAP_NAME: smacv2_10_units - win_rate__MAX,MAP_NAME: smacv2_5_units - win_rate,MAP_NAME: smacv2_5_units - win_rate__MIN,MAP_NAME: smacv2_5_units - win_rate__MAX,MAP_NAME: 27m_vs_30m - win_rate,MAP_NAME: 27m_vs_30m - win_rate__MIN,MAP_NAME: 27m_vs_30m - win_rate__MAX,MAP_NAME: 10m_vs_11m - win_rate,MAP_NAME: 10m_vs_11m - win_rate__MIN,MAP_NAME: 10m_vs_11m - win_rate__MAX,MAP_NAME: 6h_vs_8z - win_rate,MAP_NAME: 6h_vs_8z - win_rate__MIN,MAP_NAME: 6h_vs_8z - win_rate__MAX,MAP_NAME: 5m_vs_6m - win_rate,MAP_NAME: 5m_vs_6m - win_rate__MIN,MAP_NAME: 5m_vs_6m - win_rate__MAX,MAP_NAME: 3s5z - win_rate,MAP_NAME: 3s5z - win_rate__MIN,MAP_NAME: 3s5z - win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - win_rate,MAP_NAME: 3s5z_vs_3s6z - win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - win_rate__MAX,MAP_NAME: 3s_vs_5z - win_rate,MAP_NAME: 3s_vs_5z - win_rate__MIN,MAP_NAME: 3s_vs_5z - win_rate__MAX,MAP_NAME: 2s3z - win_rate,MAP_NAME: 2s3z - win_rate__MIN,MAP_NAME: 2s3z - win_rate__MAX
27,55296,0.408163256943226,0,2.04081628471613,2.00976546853781,0,4.08163256943226,5.30269742012024,0,10.9090909361839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,57344,0.370370373129845,0,1.85185186564922,1.14099483937025,0,1.99999995529652,5.36713887006044,1.92307699471712,7.54716992378235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,59392,1.21666666120291,0,3.99999991059303,2.014279961586,0,3.92156876623631,4.50882975012064,2.04081628471613,8.16326513886452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,61440,0.833695158362389,0,2.12765950709581,2.27522283792496,0,5.45454546809197,5.75948424637318,3.84615398943424,7.40740746259689,0,0,0,0,0,0,0.338983051478863,0,1.69491525739431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,63488,0.801282078027725,0,2.0833333954215,2.65406172722578,0,7.14285746216774,7.77614682912827,6.1224490404129,10.0000001490116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,65536,0.377358496189117,0,1.88679248094559,2.79411770403385,0,5.88235296308994,7.37340647727251,1.92307699471712,10.1694911718369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,67584,1.2239508703351,0,2.17391308397055,3.69780525565147,0,7.84313753247261,7.06638000905514,3.70370373129845,11.9999997317791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,69632,0.425531901419163,0,2.12765950709581,6.78770683705807,3.99999991059303,11.1111111938953,5.67161537706852,3.92156876623631,10.7142858207226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,71680,1.27561554312706,0,2.63157896697521,7.44831282645464,1.96078438311815,11.1111111938953,9.40166279673576,3.99999991059303,12.2448980808258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,73728,1.18431374430656,0,3.92156876623631,3.9877238124609,0,9.80392172932625,6.27598825842142,2.17391308397055,9.61538478732109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,75776,1.21146954596043,0,4.44444455206394,4.50593262910843,0,10.2040819823742,7.03892812132835,3.70370373129845,9.43396240472794,0,0,0,0,0,0,0,0,0,0.139860138297081,0,0.699300691485405,0,0,0,0,0,0,0,0,0,0,0,0
38,77824,1.4634145796299,0,7.31707289814949,4.06516451388598,1.85185186564922,8.16326513886452,6.04258179664612,4.83870953321457,7.0175439119339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,79872,0.833695158362389,0,2.12765950709581,4.25614539533854,1.72413792461157,7.54716992378235,9.14811536669731,6.1224490404129,16.326530277729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,81920,2.14605070650578,0,9.09090936183929,4.07998293638229,1.85185186564922,8.33333358168602,10.5668317526579,5.17241396009922,15.9999996423721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,83968,0.689655169844627,0,3.44827584922314,5.80826215445995,1.85185186564922,9.61538478732109,7.91093274950981,4.34782616794109,16.666667163372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
