Env_step,MAP_NAME: smacv2_20_units - eval_m/.win_rate,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_10_units - eval_m/.win_rate,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_5_units - eval_m/.win_rate,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MAX,MAP_NAME: 27m_vs_30m - eval_m/.win_rate,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MIN,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MAX,MAP_NAME: 10m_vs_11m - eval_m/.win_rate,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MIN,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MAX,MAP_NAME: 6h_vs_8z - eval_m/.win_rate,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MIN,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MAX,MAP_NAME: 5m_vs_6m - eval_m/.win_rate,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MIN,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MAX,MAP_NAME: 3s5z - eval_m/.win_rate,MAP_NAME: 3s5z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z - eval_m/.win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MAX,MAP_NAME: 3s_vs_5z - eval_m/.win_rate,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MIN,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MAX,MAP_NAME: 2s3z - eval_m/.win_rate,MAP_NAME: 2s3z - eval_m/.win_rate__MIN,MAP_NAME: 2s3z - eval_m/.win_rate__MAX
1179648,3.125,0,6.25,6.875,3.125,9.375,9.375,3.125,15.625,23.4375,12.5,31.25,11.25,3.125,21.875,2.5,0,6.25,0.625,0,3.125,0,0,0,0,0,0,0,0,0,9.375,3.125,12.5
1228800,1.25,0,3.125,6.875,3.125,9.375,15.625,12.5,18.75,20.3125,15.625,28.125,14.375,6.25,21.875,5,0,9.375,0,0,0,0,0,0,0,0,0,0,0,0,15.625,3.125,28.125
1277952,4.375,3.125,9.375,5,3.125,6.25,18.125,9.375,34.375,27.34375,9.375,40.625,10.625,3.125,18.75,2.5,0,9.375,0,0,0,1.875,0,6.25,0,0,0,0,0,0,20,6.25,28.125
1327104,1.25,0,3.125,6.875,0,18.75,12.5,6.25,18.75,24.21875,18.75,34.375,10.625,6.25,18.75,1.875,0,6.25,1.875,0,3.125,1.875,0,6.25,0,0,0,0,0,0,25,21.875,34.375
1376256,4.375,0,9.375,6.25,3.125,9.375,11.25,3.125,18.75,27.34375,18.75,31.25,12.5,0,18.75,3.125,0,6.25,0,0,0,1.875,0,6.25,0,0,0,0,0,0,24.375,12.5,28.125
1425408,1.875,0,3.125,3.125,0,9.375,14.375,3.125,25,25,15.625,31.25,6.875,3.125,12.5,1.25,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,25.625,18.75,34.375
1474560,2.5,0,6.25,8.125,3.125,15.625,13.75,3.125,18.75,30.46875,18.75,43.75,9.375,3.125,18.75,5,0,15.625,0,0,0,1.25,0,3.125,0,0,0,0,0,0,31.25,18.75,40.625
1523712,6.875,6.25,9.375,11.25,6.25,15.625,20.625,15.625,25,29.6875,6.25,43.75,13.125,3.125,18.75,4.375,0,9.375,0,0,0,6.25,0,9.375,0,0,0,0,0,0,30.625,21.875,40.625
1572864,4.375,0,9.375,4.375,0,9.375,18.75,12.5,25,25,0,40.625,10.625,3.125,21.875,8.125,0,21.875,1.875,0,3.125,6.25,0,12.5,0,0,0,0,0,0,30.625,25,43.75
1622016,3.125,0,6.25,3.125,0,6.25,22.5,12.5,28.125,25.78125,0,37.5,18.125,9.375,31.25,5.625,0,9.375,1.875,0,3.125,3.125,0,9.375,0,0,0,0,0,0,35.625,28.125,43.75
1671168,1.875,0,3.125,3.125,0,6.25,18.75,12.5,28.125,28.90625,0,59.375,14.375,3.125,31.25,4.375,0,15.625,0,0,0,5,3.125,6.25,0,0,0,0,0,0,33.75,21.875,43.75
1720320,5.625,3.125,9.375,5,3.125,9.375,22.5,15.625,28.125,29.6875,0,40.625,11.875,0,31.25,6.875,3.125,12.5,0.625,0,3.125,3.75,0,6.25,0,0,0,0,0,0,38.75,31.25,50
